"Product ID",Thumbnail,Name,SKU,Barcode,"Vendor SKU",Weight,"Weight Unit",Length,Width,Height,"Dimension Unit",Volume,"Volume Unit",Backordered,Expected,Processed,Put-Away,Available,Allocated,Reserved,Picked,"On Hand",Advertised,"Goods Type",Regulation,"Lot Type","Serial Number Type",Status,Availability,Visibility,"Created At","Updated At","Description of Goods for Export","Base Image","Requires Packaging","Storage Height","Merchant Name","Require Weight Check","Technical Name","HTS Base Code","Storage Length","Storage Width","HTS Country Code","Additional Regulatory Information","Is Box","Net Hazmat Weight","Customs Value","Valid Containers","Country of Manufacture","Other Special Features","Container Type","Container Meets HazMat Specs","Regulation Units","Bulk Quantity","Unit Quantity","Max Per Package","Ship Separate","External ID","Additional Handling Surcharge","Ship Separate Tag","Requires Infill","Special Supplies","Can Contain Other Items","Can Tip","Allowed Container Styles","Freight Class","Disallowed Containers","Freight Category",Details,Test,"Product Category","Customs Value Currency","Net Hazmat Weight Unit"
152143,,"Desk U 36X22 Drawer",D-U-36X22-DRAWER,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,354,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:36:14","2024-09-13 15:36:32",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
152142,,"Desk U 36X22",D-U-36X22,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,354,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:34:44","2024-09-13 15:35:10",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,,,,
152141,,"Desk HP 36X22 Keyboard Tray",D-HP-36X22-KEYBOARD-TRAY,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,28,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:32:56","2024-09-13 15:33:09",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
152140,,"Desk HP 36X22 Drawer",D-HP-36X22-DRAWER,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,28,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:30:49","2024-09-13 15:31:08",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
152139,,"Desk HP 36X22",D-HP-36X22,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,28,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:29:49","2024-09-13 15:30:00",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,,,,
152138,,"Coffee U 36X22 Drawer",CF-U-36X22-DRAWER,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:28:44","2024-09-13 15:29:07",,no_selection,No,,"Keelan Scott",No,,,,,,,0,,,," ",,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
143301,,"Coffee U 36X22 C Table",CF-U-36X22-C-TABLE,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-05-20 18:23:21","2024-09-13 15:20:16",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
143303,,"Coffee U 36X22 2C Table",CF-U-36X22-2C-TABLE,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-05-20 18:25:17","2024-09-13 15:13:50",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
152135,,"Coffee U 36X22",CF-U-36X22,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:12:46","2024-09-13 15:13:16",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,,,,
99110,,"Desk SSW 58X28",D-SSW-58X28,R0819202423105,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,150,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 18:14:52","2024-08-19 07:32:36",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
